"X"
120.8
120.8
116.5
119
121.8
121
123.2
123.3
117
118
119.5
119
121
120
121.5
122.5
120.5
119
118.3
118
120.6
122
125
120.5
122.5
118.5
123
120.5
120.2
119
121
124.5
123
123
125.9
125.6
118.1
122.8
120
120.8
119.2
117
121.5
123
123
117
116.7
118.2
124.5
120
122
118.6
122
118.5
124
119
120.5
121.5
118.2
121
123.5
124
120
123
124.5
122.5
121.5
121.5
118.2
121.5
122.5
122.8
122.3
120
121
123.3
124
122
122.5
115
120
124.3
